,Character,Count,KoreanFlag
1336,酸,17,False
1337,救,17,False
1338,惺,17,False
1339,卯,17,False
1340,耳,17,False
1341,て,17,False
1342,綠,17,False
1343,諭,17,False
1344,墳,17,False
1345,閔,17,False
1346,模,17,False
1347,辯,17,False
1348,姑,17,False
1349,汎,17,False
1350,き,17,False
1351,呼,17,False
1352,審,17,False
1353,迦,17,False
1354,核,17,False
1355,痛,17,False
1356,賤,17,False
1357,健,17,False
1358,兪,17,False
1359,介,17,False
1360,澄,17,False
1361,敦,17,False
1362,贈,17,False
1363,琉,17,False
1364,憂,17,False
1365,打,17,False
1366,征,17,False
1367,斯,17,False
1368,兄,17,False
1369,쌔,17,True
1370,棟,17,False
1371,遂,17,False
1372,溝,17,False
1373,쨰,17,True
1374,衡,17,False
1375,牒,17,False
1376,領,17,False
1377,町,17,False
1378,確,17,False
1379,索,17,False
1380,潘,17,False
1381,慣,17,False
1382,覆,16,False
1383,托,16,False
1384,違,16,False
1385,束,16,False
1386,掌,16,False
1387,臨,16,False
1388,渤,16,False
1389,淑,16,False
1390,店,16,False
1391,劃,16,False
1392,獄,16,False
1393,챵,16,True
1394,旣,16,False
1395,쯧,16,True
1396,旅,16,False
1397,棍,16,False
1398,濱,16,False
1399,翰,16,False
1400,롸,16,True
1401,睡,16,False
1402,看,16,False
1403,큠,16,True
1404,沖,16,False
1405,픕,16,True
1406,珥,16,False
1407,迷,16,False
1408,乎,16,False
1409,漸,16,False
1410,値,16,False
1411,釜,16,False
1412,早,16,False
1413,透,16,False
1414,到,16,False
1415,渾,16,False
1416,嬪,16,False
1417,瀨,16,False
1418,沌,16,False
1419,染,15,False
1420,玩,15,False
1421,꾐,15,True
1422,飜,15,False
1423,罰,15,False
1424,眉,15,False
1425,採,15,False
1426,擇,15,False
1427,沿,15,False
1428,烏,15,False
1429,鷄,15,False
1430,恥,15,False
1431,갗,15,True
1432,鋪,15,False
1433,儉,15,False
1434,큅,15,True
1435,犬,15,False
1436,週,15,False
1437,젭,15,True
1438,弓,15,False
1439,잗,15,True
1440,妓,15,False
1441,篆,15,False
1442,麟,15,False
1443,投,15,False
1444,繪,15,False
1445,塚,15,False
1446,坡,15,False
1447,箋,15,False
1448,摹,15,False
1449,粗,15,False
1450,懋,15,False
1451,젋,15,True
1452,卒,15,False
1453,粉,15,False
1454,燒,15,False
1455,萊,15,False
1456,짇,15,True
1457,곯,15,True
1458,勇,15,False
1459,洗,15,False
1460,勉,15,False
1461,窩,15,False
1462,荒,15,False
1463,뉼,15,True
1464,替,15,False
1465,擴,15,False
1466,佐,15,False
1467,括,15,False
1468,蘊,15,False
1469,뀝,15,True
1470,刹,15,False
1471,灰,15,False
1472,톺,15,True
1473,訪,15,False
1474,項,15,False
1475,織,15,False
1476,穗,15,False
1477,燮,15,False
1478,艮,15,False
1479,整,15,False
1480,謠,15,False
1481,危,15,False
1482,듄,15,True
1483,舜,15,False
1484,斥,15,False
1485,恐,15,False
1486,峻,15,False
1487,症,14,False
1488,뱡,14,True
1489,洛,14,False
1490,젱,14,True
1491,森,14,False
1492,隣,14,False
1493,絲,14,False
1494,甫,14,False
1495,慮,14,False
1496,晦,14,False
1497,央,14,False
1498,毁,14,False
1499,찿,14,True
1500,響,14,False
1501,敵,14,False
1502,暗,14,False
1503,塗,14,False
1504,彫,14,False
1505,腎,14,False
1506,哈,14,False
1507,鴨,14,False
1508,咸,14,False
1509,岸,14,False
1510,頂,14,False
1511,쳄,14,True
1512,仰,14,False
1513,鬪,14,False
1514,弗,14,False
1515,逐,14,False
1516,佳,14,False
